URL	title	name	path	id
https://stephenfollows.com/resource-docs/scripts/eternal_sunshine_of_the_spotless_mind.pdf	Eternal Sunshine Of The Spotless Mind	Eternal.Sunshine.Of.The.Spotless.Mind	PDF_Downloads/Eternal.Sunshine.Of.The.Spotless.Mind.pdf	1
http://www.pages.drexel.edu/~ina22/splaylib/Screenplay-Good_Will_Hunting.pdf	Good Will Hunting	Good.Will.Hunting	PDF_Downloads/Good.Will.Hunting.pdf	2
http://www.pages.drexel.edu/~ina22/splaylib/Screenplay-Jerry_Maguire.pdf	Jerry Maguire	Jerry.Maguire	PDF_Downloads/Jerry.Maguire.pdf	3
http://www.dailyscript.com/scripts/Little_Children-script.pdf	Little Children	Little.Children	PDF_Downloads/Little.Children.pdf	4
http://www.dailyscript.com/scripts/lost_in_translation.pdf	Lost In Translation	Lost.In.Translation	PDF_Downloads/Lost.In.Translation.pdf	5
http://www.universalpicturesawards.com/site-content/uploads/2015/08/Straight-Outta-Compton-Screenplay.pdf	Straight Outta Compton	Straight.Outta.Compton	PDF_Downloads/Straight.Outta.Compton.pdf	6
http://www.pages.drexel.edu/~ina22/splaylib/Screenplay-Truman_Show,_The.pdf	The Truman Show	The.Truman.Show	PDF_Downloads/The.Truman.Show.pdf	7
http://www.screenplaydb.com/film/scripts/up_in_the_air.pdf	Up In The Air	Up.In.The.Air	PDF_Downloads/Up.In.The.Air.pdf	8
http://www.scriptreaderpro.com/wp-content/uploads/2017/10/Visitor-The.compressed-ilovepdf-compressed.pdf	The Visitor	The.Visitor	PDF_Downloads/The.Visitor.pdf	9
http://www.sonyclassics.com/awards-information/whiplash_screenplay.pdf	Whiplash	Whiplash	PDF_Downloads/Whiplash.pdf	10
http://www.cinefile.biz/script/500daysofsummer.pdf	(500) Days Of Summer	X.500..Days.Of.Summer	PDF_Downloads/X.500..Days.Of.Summer.pdf	11
http://screenplayexplorer.com/wp-content/scripts/Bridesmaids_Screenplay.pdf	Bridesmaids	Bridesmaids	PDF_Downloads/Bridesmaids.pdf	12
http://www.scriptreaderpro.com/wp-content/uploads/2017/10/The-Hangover.pdf	The Hangover	The.Hangover	PDF_Downloads/The.Hangover.pdf	13
http://www.scriptreaderpro.com/wp-content/uploads/2017/10/Hannah-and-Her-Sisters.pdf	Hannah And Her Sisters	Hannah.And.Her.Sisters	PDF_Downloads/Hannah.And.Her.Sisters.pdf	14
